volume_top3_share,multi_dim_near_limit_share,side_wall_area_load
0.495940412312906,0.2,1.1294444444444445
0.5255857091011734,0.25,1.0344444444444445
0.40019002375296914,0.08333333333333333,1.2794444444444444
0.3702711100753515,0.0,1.1483333333333334
0.4396946564885496,0.1,1.2138888888888888
0.37400837864337283,0.18181818181818182,1.423888888888889
0.4826740764955868,0.0,1.083888888888889
0.4241268872960195,0.0,1.0672222222222223
0.406831096962304,0.18181818181818182,1.3727777777777779
0.5051635708344885,0.1,1.1605555555555556
0.45617913427939816,0.1,1.1844444444444444
