dim_s_p90_to_vh,two_dim_large_share,aspect_cv
0.36666666666666664,0.18181818181818182,0.3612895817109894
0.38,0.3333333333333333,0.2593337171835954
0.4,0.07692307692307693,0.406340644451316
0.4,0.3076923076923077,0.3415450009063729
0.4,0.23076923076923078,0.37695598192366775
0.36666666666666664,0.18181818181818182,0.37679629033136885
0.36999999999999994,0.2,0.4348718584449706
0.36666666666666664,0.2,0.30706818192793456
0.4,0.18181818181818182,0.4149732389880691
0.38,0.3333333333333333,0.27685146415093753
0.39333333333333337,0.15384615384615385,0.3606526485954437
0.4,0.2727272727272727,0.38179290609039074
0.36333333333333334,0.4166666666666667,0.31314815645870214
0.3833333333333333,0.5,0.39261307650954097
0.33999999999999997,0.1111111111111111,0.3700681027107155
0.36666666666666664,0.5,0.3467399711964091
0.4,0.1875,0.3187524012500095
0.36666666666666664,0.4,0.38793823123839266
0.4,0.18181818181818182,0.2509122173136832
0.33999999999999997,0.1,0.23260354506847583
0.36333333333333334,0.16666666666666666,0.2430713196266771
0.36999999999999994,0.1,0.43942882068143674
0.32666666666666666,0.25,0.21151750884770226
0.3333333333333333,0.18181818181818182,0.22225204008624685
0.34333333333333327,0.2,0.3730580036488823
0.3966666666666667,0.16666666666666666,0.38157607505605606
0.3466666666666667,0.2222222222222222,0.31612789427024823
0.4,0.3333333333333333,0.3807927255477603
0.4266666666666667,0.07692307692307693,0.4327232515983272
0.2866666666666667,0.4444444444444444,0.22657993270115398
0.38666666666666666,0.0,0.4273520471270928
0.3966666666666667,0.4166666666666667,0.4112376511209667
0.36333333333333334,0.08333333333333333,0.4231127884475424
0.36666666666666664,0.5,0.29408201884016727
0.4,0.14285714285714285,0.3424812453336171
0.36666666666666664,0.42857142857142855,0.3167942863179857
0.36666666666666664,0.23076923076923078,0.3590487899651243
0.4033333333333333,0.1,0.4459821104281083
0.3833333333333333,0.1875,0.4325751013653813
0.4033333333333333,0.3,0.3398142398843237
0.4133333333333334,0.42857142857142855,0.40215027119248214
0.3833333333333333,0.0625,0.42820515151902205
0.43333333333333335,0.3,0.44189346720616995
0.4066666666666667,0.0,0.5187731180766632
0.4,0.18181818181818182,0.39143109904197354
0.3966666666666667,0.16666666666666666,0.3630540370804368
0.36999999999999994,0.3,0.4030488167901643
0.4033333333333333,0.3,0.3016334755335025
0.4,0.18181818181818182,0.34275208584586647
0.37666666666666665,0.5,0.36306509657103286
0.36666666666666664,0.4166666666666667,0.2930429629470531
0.4,0.0,0.4660628699298628
0.4,0.0,0.4156718245822535
0.36666666666666664,0.4166666666666667,0.26646009534921106
0.4,0.1,0.3900833046627054
0.36666666666666664,0.36363636363636365,0.27874099699119864
0.38666666666666666,0.13333333333333333,0.3319585055119474
0.4,0.5,0.33903919456239334
0.4133333333333334,0.2857142857142857,0.38588647946630406
0.4,0.0,0.5738922847544603
0.39333333333333337,0.23529411764705882,0.36863895185
0.4133333333333334,0.14285714285714285,0.3814887150367367
0.4166666666666667,0.1875,0.4325080048758114
0.4,0.13333333333333333,0.4415864344013736
0.38666666666666666,0.25,0.34569700470461595
0.4,0.16666666666666666,0.49017754138593156
0.35666666666666663,0.5,0.36365491603879585
0.4,0.16666666666666666,0.40930920546185984
0.36666666666666664,0.25,0.25096770569709925
0.4,0.2,0.37609630125539234
0.36666666666666664,0.2727272727272727,0.2897215854649194
0.36666666666666664,0.3125,0.3986864615168295
0.33,0.25,0.3328382316498621
0.3466666666666667,0.3333333333333333,0.3612789140922066
0.38,0.5,0.33856720100849685
0.36666666666666664,0.14285714285714285,0.357262930591692
0.3833333333333333,0.5,0.23860167461101411
0.4,0.18181818181818182,0.3850512521484686
0.38,0.5714285714285714,0.27555060380257623
0.38,0.2857142857142857,0.3046722918927026
0.33333333333333337,0.42857142857142855,0.21296647458443926
0.4,0.15384615384615385,0.47932688086352127
0.38,0.2222222222222222,0.3382252791480345
0.38666666666666666,0.4,0.4041774629777918
0.4,0.125,0.4366398858797357
0.4,0.3333333333333333,0.3612366861305051
0.4133333333333334,0.42857142857142855,0.2821695803543223
0.3666666666666667,0.3333333333333333,0.2653068865759708
0.3466666666666667,0.23529411764705882,0.29737215232149694
0.3566666666666667,0.2857142857142857,0.32652214076705915
0.4133333333333334,0.14285714285714285,0.32305012173431474
0.38,0.17647058823529413,0.41369741140815947
0.4166666666666667,0.1875,0.43190754501277284
0.3833333333333333,0.16666666666666666,0.4069712588125366
0.37333333333333335,0.2222222222222222,0.4755813034208518
0.4266666666666667,0.15384615384615385,0.3899479541861081
0.4,0.3,0.36020298857984945
0.35,0.0,0.48003883419321636
0.38,0.23529411764705882,0.3034015219366308
0.39333333333333337,0.0,0.31342962998911034
0.39000000000000007,0.2857142857142857,0.25839726992691586
0.2633333333333333,1.0,0.1368593770038479
0.39333333333333337,0.23076923076923078,0.3971035032335177
0.36000000000000004,0.14285714285714285,0.2729272868547684
0.36666666666666664,0.09090909090909091,0.3736802581783785
0.4,0.1875,0.36232040751806005
0.31333333333333335,0.25,0.1500230822498866
0.43333333333333335,0.18181818181818182,0.3935670136359625
0.4066666666666667,0.4444444444444444,0.2445658047962452
0.41000000000000003,0.16666666666666666,0.42265148283673504
0.36000000000000004,0.25,0.42067680236469884
0.4,0.16666666666666666,0.4276725729397269
0.3433333333333333,0.25,0.36951785800716297
0.4033333333333333,0.1,0.4523869813668312
0.3633333333333333,0.25,0.18676412150896832
