spare_cap_x_hH,floor_area_pressure,tall_item_share
3196.802773932,0.8306666666666667,0.75
-1986.194737358,1.54,0.7894736842105263
6973.6875,0.2886666666666666,0.75
-16.195238088,1.22,0.8571428571428571
1713.7015183570002,1.0153333333333334,0.8181818181818182
9505.0,0.18866666666666668,1.0
5942.7,0.20400000000000001,0.3333333333333333
4774.916657985,0.47933333333333333,0.8571428571428571
1580.3897461039999,1.0706666666666667,0.8461538461538461
6185.191654598,0.2573333333333333,0.75
3876.549993645,0.668,0.9
664.26666702,1.1540000000000001,0.8666666666666667
6471.616676623,0.396,0.8
2387.116671828,0.848,0.9166666666666666
4516.088880018,0.626,0.8888888888888888
2408.7500041,0.924,0.8181818181818182
3226.137881779,0.7926666666666667,1.0
792.153334611,1.0813333333333333,0.8666666666666667
6159.400009476,0.418,1.0
-752.184312803,1.2613333333333334,0.8823529411764706
7534.312510959,0.308,1.0
150.63888905,1.1453333333333333,0.8666666666666667
1357.111109754,0.9413333333333334,1.0
4587.327774348,0.628,0.7777777777777778
3182.22221904,0.7366666666666667,1.0
3049.841671646,0.8326666666666667,0.8333333333333334
4544.800006992,0.598,1.0
3973.654160494,0.692,0.875
5613.51,0.48733333333333334,0.8
3926.445827234,0.7933333333333334,0.75
1747.8766646459999,1.0353333333333334,0.8
479.784375,1.174,0.8125
4933.887047210001,0.6086666666666667,0.6666666666666666
5245.3958409629995,0.5846666666666667,0.875
3546.442597413,0.6593333333333333,0.8888888888888888
3285.454541512,0.8906666666666667,0.8181818181818182
951.035712445,1.1126666666666667,0.8571428571428571
1280.20513096,1.0453333333333334,0.8461538461538461
6045.845233004,0.5046666666666667,0.8571428571428571
2901.4233382509997,0.7393333333333334,0.9
4116.6,0.8106666666666668,0.8
4864.16189883,0.5173333333333333,0.8571428571428571
1783.4423058149998,1.0326666666666666,0.8461538461538461
7022.708322097001,0.316,0.75
5870.200009584,0.368,1.0
668.198810164,1.0726666666666667,0.8571428571428571
6165.952378485999,0.49666666666666665,1.0
1519.59722051,0.9566666666666667,0.8333333333333334
4989.1203599929995,0.6126666666666667,1.0
2787.046296781,0.7526666666666667,1.0
3413.877775981,0.8166666666666667,0.8333333333333334
4437.4999929000005,0.548,1.0
1697.7066640140001,1.0213333333333334,0.8666666666666667
5498.013342652,0.4093333333333333,1.0
282.10000043400004,1.16,0.875
-96.864444338,1.1526666666666667,0.8666666666666667
7021.236107807001,0.4166666666666667,1.0
777.955127115,1.0366666666666666,0.8461538461538461
5819.2291751309995,0.5326666666666667,1.0
2003.5166697490001,0.8326666666666667,1.0
3741.42856644,0.628,1.0
2486.007146228,0.9413333333333334,0.8571428571428571
1102.6733310480001,1.08,0.8666666666666667
1705.587775806,1.1366666666666667,0.7333333333333333
3717.1349999999998,0.758,0.9
4107.293339958,0.808,0.7
3009.97023675,1.034,0.7857142857142857
3642.757576318,0.7406666666666667,0.9090909090909091
2446.719996177,1.0353333333333334,0.8
3659.8,0.7946666666666666,0.8333333333333334
2723.21211456,0.8293333333333334,0.9090909090909091
3824.3437564409996,0.7366666666666667,0.75
1516.466666337,1.1606666666666667,0.7857142857142857
2907.85713898,0.9286666666666666,0.9285714285714286
3411.2000033279996,0.8853333333333333,0.9166666666666666
5381.193742101,0.614,0.875
2910.483332757,0.7246666666666667,0.8888888888888888
5550.645824955,0.5726666666666667,1.0
3522.545458068,0.702,0.8181818181818182
2941.399994652,0.8306666666666667,0.9090909090909091
4598.131249999999,0.5293333333333333,0.875
1680.7111132119999,0.9533333333333334,0.8333333333333334
3520.1833269329995,0.638,0.875
4195.19999448,0.8053333333333333,0.9090909090909091
2850.311114674,0.7020000000000001,0.8888888888888888
3249.581822664,0.7566666666666667,0.8181818181818182
3415.0483272889996,0.7093333333333334,0.9
3659.145450012,0.6913333333333334,0.8181818181818182
2262.289748384,0.8913333333333333,0.9230769230769231
