dim_l_occupancy_sum,fragile_vol_share,needle_frac,dim_m_tail_ratio
3.783333333333333,0.0,0.0,1.2666666666666666
4.4,0.0,0.1,1.1793103448275863
4.45,0.0,0.0,1.2142857142857142
4.3,0.0,0.1111111111111111,1.075
5.183333333333334,0.0,0.0,1.4166666666666667
4.366666666666667,0.0,0.0,1.4166666666666667
5.516666666666667,0.0,0.08333333333333333,1.1655172413793102
2.7333333333333334,0.0,0.0,1.206896551724138
3.716666666666667,0.0,0.1111111111111111,1.2307692307692308
2.7,0.0,0.0,1.09375
6.883333333333333,0.0,0.0625,1.2222222222222223
2.1666666666666665,0.0,0.0,1.035294117647059
5.083333333333333,0.0,0.09090909090909091,1.0666666666666667
4.55,0.0,0.1,1.110344827586207
5.516666666666667,0.0,0.08333333333333333,1.1655172413793102
3.3833333333333333,0.0,0.0,1.4782608695652173
5.65,0.0,0.08333333333333333,1.096774193548387
5.116666666666666,0.0,0.09090909090909091,1.0625
4.283333333333333,0.0,0.1,1.1724137931034482
4.783333333333333,0.0,0.0,1.3076923076923077
4.0,0.0,0.1111111111111111,1.157142857142857
4.933333333333334,0.0,0.0,1.4083333333333332
4.833333333333333,0.0,0.0,1.2142857142857142
4.183333333333334,0.0,0.1111111111111111,1.075
2.8833333333333333,0.0,0.0,1.2
5.216666666666667,0.0,0.0,1.2142857142857142
4.666666666666667,0.0,0.08333333333333333,1.1428571428571428
3.5666666666666664,0.0,0.0,1.08125
6.016666666666667,0.0,0.07142857142857142,1.1851851851851851
3.033333333333333,0.0,0.0,1.0235294117647058
5.316666666666666,0.0,0.0,1.4166666666666667
3.916666666666667,0.0,0.0,1.2384615384615385
5.866666666666667,0.0,0.0,1.4166666666666667
4.516666666666667,0.0,0.0,1.1500000000000001
3.166666666666667,0.0,0.0,1.1
5.683333333333334,0.0,0.0,1.3076923076923077
4.116666666666667,0.0,0.0,1.1500000000000001
0.95,0.0,0.0,1.1714285714285713
4.416666666666667,0.0,0.0,1.2142857142857142
4.75,0.0,0.0,1.3076923076923077
4.016666666666667,0.0,0.0,1.2666666666666666
4.383333333333333,0.0,0.0,1.0625
4.483333333333333,0.0,0.0,1.2142857142857142
3.7333333333333334,0.0,0.0,1.330769230769231
5.35,0.0,0.08333333333333333,1.0625
2.35,0.0,0.0,1.0833333333333333
3.6,0.0,0.1111111111111111,1.3333333333333333
5.45,0.0,0.0,1.0625
4.133333333333333,0.0,0.1,1.28
4.916666666666666,0.0,0.0,1.0625
6.45,0.0,0.06666666666666667,1.276923076923077
2.5999999999999996,0.0,0.0,1.0303030303030303
5.466666666666667,0.0,0.0,1.2142857142857142
2.033333333333333,0.0,0.0,1.1666666666666667
6.816666666666666,0.0,0.0,1.2142857142857142
5.283333333333333,0.0,0.0,1.1724137931034482
6.4,0.0,0.0,1.1785714285714286
5.866666666666667,0.0,0.0,1.1857142857142857
2.9833333333333334,0.0,0.0,1.3076923076923077
4.516666666666667,0.0,0.0,1.146153846153846
0.9666666666666667,0.0,0.0,1.2666666666666668
4.916666666666667,0.0,0.0,1.325
7.116666666666667,0.0,0.0625,1.096774193548387
4.216666666666667,0.0,0.0,1.3153846153846156
4.833333333333333,0.0,0.09090909090909091,1.0625
6.75,0.0,0.0625,1.1724137931034482
5.133333333333333,0.0,0.08333333333333333,1.3519999999999999
3.8833333333333333,0.0,0.0,1.4166666666666667
1.9666666666666668,0.0,0.0,1.1307692307692307
5.666666666666667,0.0,0.07142857142857142,1.2142857142857142
2.95,0.0,0.0,1.2142857142857142
4.416666666666667,0.0,0.0,1.4166666666666667
3.3666666666666667,0.0,0.0,1.16
3.1833333333333336,0.0,0.14285714285714285,1.12
3.3166666666666664,0.0,0.0,1.0625
4.716666666666667,0.0,0.0,1.3833333333333335
3.7,0.0,0.0,1.1333333333333333
2.1666666666666665,0.0,0.0,1.1333333333333333
6.066666666666666,0.0,0.0,1.3076923076923077
2.35,0.0,0.0,1.2692307692307692
3.3833333333333333,0.0,0.0,1.2142857142857142
2.85,0.0,0.0,1.3076923076923077
7.45,0.0,0.058823529411764705,1.3076923076923077
6.1,0.0,0.07142857142857142,1.36
2.95,0.0,0.0,1.0625
6.583333333333334,0.0,0.0,1.4166666666666667
6.25,0.0,0.0,1.2692307692307692
2.1666666666666665,0.0,0.0,1.4782608695652173
3.416666666666667,0.0,0.0,1.25
5.0,0.0,0.0,1.2142857142857142
4.416666666666667,0.0,0.1,1.1793103448275863
2.1833333333333336,0.0,0.16666666666666666,1.28
7.416666666666666,0.0,0.058823529411764705,1.3076923076923077
1.0666666666666667,0.0,0.0,1.1714285714285713
6.3,0.0,0.0,1.1724137931034482
1.1,0.0,0.0,1.05
5.383333333333334,0.0,0.0,1.0714285714285714
3.2,0.0,0.14285714285714285,1.1428571428571428
4.583333333333333,0.0,0.09090909090909091,1.2307692307692308
6.633333333333333,0.0,0.0625,1.1724137931034482
1.85,0.0,0.0,1.4761904761904763
4.366666666666667,0.0,0.0,1.2142857142857142
4.316666666666666,0.0,0.0,1.2285714285714284
6.883333333333334,0.0,0.0,1.3076923076923077
1.5333333333333332,0.0,0.0,1.4000000000000001
4.8,0.0,0.08333333333333333,1.207142857142857
3.466666666666667,0.0,0.0,1.25
3.8333333333333335,0.0,0.1,1.2214285714285715
3.7333333333333334,0.0,0.0,1.2142857142857142
3.35,0.0,0.1111111111111111,1.2461538461538462
5.35,0.0,0.0,1.2142857142857142
5.9,0.0,0.07142857142857142,1.192857142857143
5.1,0.0,0.07692307692307693,1.4000000000000001
2.6,0.0,0.0,1.2142857142857142
5.083333333333334,0.0,0.0,1.2142857142857142
4.633333333333333,0.0,0.1,1.06875
3.85,0.0,0.0,1.4166666666666667
6.216666666666667,0.0,0.0,1.2142857142857142
4.216666666666667,0.0,0.0,1.2142857142857142
3.85,0.0,0.0,1.3153846153846156
3.25,0.0,0.0,1.2142857142857142
5.6,0.0,0.0,1.3916666666666668
4.066666666666666,0.0,0.0,1.4166666666666667
2.75,0.0,0.16666666666666666,1.096774193548387
4.65,0.0,0.0,1.2142857142857142
1.2,0.0,0.0,1.0571428571428572
6.633333333333334,0.0,0.0625,1.2222222222222223
6.866666666666667,0.0,0.0625,1.1724137931034482
2.183333333333333,0.0,0.0,1.4166666666666667
2.316666666666667,0.0,0.0,1.2
6.016666666666667,0.0,0.0,1.2142857142857142
