spare_cap_sq,spare_cap_x_conc,spare_cap_x_wl_total,vol_top3_share,n_high_asr_items,spare_cap_log1p,h_to_H_max_sq,l_std_x_h_max,max_fp_ratio,spare_cap_x_wl_max,wl_total_over_wl_max,max_dim_l_to_vL,spare_cap_x_sku_counts,n_items_near_vL,n_tall_items,n_wide_items,n_multi_dim_stress,spare_cap_x_n_near_vL,q90_l_to_L,spare_cap_x_n_wide,height_tail_share
33408400,-1764.4890376,-10823050.0,0.35783773139031116,2,0.0,0.09,0.0337710591,0.17,-1119875.0,9.664516128982378,0.5833333333236111,-98260,5,4,4,8,-28900,0.5566666666666666,-23120,0.0
14122564,1037.228063962,5710594.165414,0.4405945395470637,2,8.231908243564177,0.09,0.020292992699999998,0.17,728112.5,7.843010750927262,0.5833333333236111,45096,5,3,3,7,18790,0.565,11274,0.0
306110016,4948.001139744,17525160.005831998,0.4199389179755672,1,9.76978471664462,0.0802777775888889,0.029613056465161113,0.12133333333333333,2325510.0005832002,7.536050157301033,0.4833333333252778,227448,0,2,2,4,0,0.43333333333333335,34992,0.0
237683889,4503.814029323999,17350548.755139,0.3904269343879931,1,9.643290937019207,0.0802777775888889,0.03289857846129579,0.12133333333333333,2049176.2505139,8.467084639819161,0.5499999999908334,215838,1,2,2,4,15417,0.4683333333333334,30834,0.0
1131515044,7940.383106480001,13721500.8344546,0.7813765182186235,0,10.42344138712899,0.0802777775888889,0.03290680816128611,0.088,4471050.834454601,3.068965516699427,0.4833333333252778,168190,0,1,0,2,0,0.45666666666666667,0,0.0
18792225,-1311.113280795,-7748812.5,0.36831863788385527,2,0.0,0.09,0.0342426429,0.17,-839906.25,9.225806451565287,0.5833333333236111,-69360,5,4,3,8,-21675,0.5583333333333333,-13005,0.0
3755844,555.925497756,3058002.500646,0.42197296920718963,2,7.569927655242652,0.09,0.0277616652,0.17,375487.5,8.144086023183773,0.5833333333236111,25194,5,3,3,7,9690,0.5633333333333334,5814,0.0
580810000,6426.6417794,18336083.332530003,0.4926315789473684,0,10.090008612393838,0.0802777775888889,0.031023239046835405,0.09533333333333334,3203291.66747,5.724137929305114,0.4833333333252778,241000,0,2,1,3,0,0.43833333333333335,24100,0.0
420742144,5427.667951264,18657373.3326496,0.5631737994119569,0,9.928814110482136,0.0802777775888889,0.03569444095800654,0.11,3461400.0,5.3901234565606515,0.5999999999900001,184608,2,1,1,4,41024,0.5466666666666666,20512,0.0
21609,-37.298192694,-202553.750049,0.46315369792012756,0,0.0,0.09,0.030649791599999997,0.17,-28481.25,7.111827958672971,0.5499999999908334,-1764,3,5,3,4,-441,0.5316666666666666,-441,0.0
