height_layer_pressure,footprint_sum_ratio,length_sum_pressure
3.2,2.386,4.65
2.566666666666667,1.882,3.683333333333333
2.7333333333333334,1.9486666666666668,3.5
4.0,2.498,5.083333333333333
1.7,1.844,3.3333333333333335
3.3333333333333335,2.914,5.25
3.2,3.15,5.833333333333333
3.933333333333333,3.066,5.85
2.7666666666666666,2.6893333333333334,4.833333333333333
0.5666666666666667,0.39466666666666667,0.9833333333333333
3.066666666666667,2.441333333333333,4.683333333333334
2.8,2.747333333333333,5.083333333333333
3.466666666666667,2.5906666666666665,4.683333333333334
2.966666666666667,2.456,4.7
0.6,0.25666666666666665,0.6666666666666666
3.4,2.138,4.066666666666666
3.7333333333333334,2.2746666666666666,4.366666666666666
2.7,2.17,4.0
2.7666666666666666,2.5193333333333334,4.266666666666667
2.6666666666666665,2.082666666666667,4.0
3.6,2.4013333333333335,4.733333333333333
3.2333333333333334,2.5893333333333333,4.7
2.4,2.3886666666666665,4.4
3.2666666666666666,2.4266666666666667,4.75
4.566666666666666,3.5873333333333335,6.883333333333334
2.5,1.5326666666666666,3.4166666666666665
2.4,1.572,3.1166666666666667
4.966666666666667,3.5973333333333333,6.833333333333333
2.1,1.9626666666666666,3.7333333333333334
0.6666666666666666,0.5626666666666666,0.9666666666666667
2.8333333333333335,1.8466666666666667,3.433333333333333
2.9,2.6393333333333335,4.933333333333334
0.8666666666666667,0.6613333333333333,1.3
4.333333333333333,2.5313333333333334,5.033333333333333
3.066666666666667,2.264,4.316666666666666
2.5,2.2053333333333334,4.166666666666667
0.4666666666666667,0.4186666666666667,0.8666666666666667
2.4,2.6286666666666667,4.683333333333334
0.9666666666666667,0.4786666666666667,0.95
2.6333333333333333,2.755333333333333,4.85
3.033333333333333,1.72,3.433333333333333
3.1333333333333333,1.5926666666666667,3.2
3.466666666666667,2.6473333333333335,4.983333333333333
2.6,2.272,4.266666666666667
0.8333333333333334,0.642,1.2333333333333334
2.433333333333333,1.6973333333333334,3.433333333333333
4.1,3.1413333333333333,6.266666666666667
3.6333333333333333,3.422,6.033333333333333
2.5,1.7686666666666666,3.7
3.1,2.1706666666666665,3.783333333333333
1.0333333333333334,0.7466666666666667,1.4
4.066666666666666,2.6073333333333335,5.066666666666666
1.1,1.0273333333333334,1.7833333333333334
2.1333333333333333,1.9453333333333334,3.5833333333333335
2.1333333333333333,2.1853333333333333,3.8666666666666667
3.1666666666666665,2.4093333333333335,4.5
3.6333333333333333,2.4886666666666666,4.733333333333333
2.566666666666667,2.646,4.866666666666666
2.8,1.6866666666666668,3.1333333333333333
3.5,2.724666666666667,5.316666666666666
2.1666666666666665,2.022666666666667,3.9166666666666665
2.566666666666667,2.3813333333333335,4.6
1.8333333333333333,1.368,2.4833333333333334
2.2,1.43,2.466666666666667
4.4,3.876,7.1
3.066666666666667,2.3473333333333333,4.5
1.6333333333333333,1.48,2.7666666666666666
3.7666666666666666,3.132,5.85
2.1666666666666665,1.5233333333333334,3.0
3.5,2.3346666666666667,4.65
2.1,1.6046666666666667,2.8333333333333335
3.2333333333333334,2.776,5.233333333333333
2.966666666666667,2.6486666666666667,5.016666666666667
2.966666666666667,2.8886666666666665,5.3
3.0,1.9833333333333334,3.933333333333333
3.066666666666667,2.4966666666666666,4.8
3.1,2.3686666666666665,4.4
3.033333333333333,1.916,3.783333333333333
3.3333333333333335,3.0726666666666667,5.733333333333333
3.2,1.8053333333333332,3.533333333333333
3.066666666666667,2.5273333333333334,4.866666666666666
3.1333333333333333,2.4766666666666666,4.65
3.3666666666666667,2.7746666666666666,5.216666666666667
3.3333333333333335,1.9653333333333334,4.083333333333333
2.8666666666666667,2.9806666666666666,5.1
3.2666666666666666,2.6666666666666665,5.033333333333333
5.0,4.042666666666666,7.183333333333334
2.7,2.219333333333333,4.4
3.966666666666667,3.264,6.366666666666666
3.2,2.906,5.25
2.566666666666667,2.162,4.0
1.2,0.9193333333333333,1.6333333333333333
0.8,0.6766666666666666,1.2
1.2666666666666666,1.0953333333333333,2.066666666666667
3.966666666666667,2.9726666666666666,5.316666666666666
2.1,2.0866666666666664,3.7666666666666666
3.7,3.0693333333333332,5.683333333333334
3.6,3.3926666666666665,6.266666666666667
3.1666666666666665,2.932,5.266666666666667
3.4,2.2413333333333334,4.416666666666667
3.033333333333333,2.562,4.833333333333333
2.8666666666666667,1.8673333333333333,3.5833333333333335
3.3666666666666667,2.0526666666666666,4.083333333333333
3.1666666666666665,2.762,4.7
3.066666666666667,2.041333333333333,4.116666666666666
3.5,2.538666666666667,4.633333333333334
3.0,1.6426666666666667,3.1
2.6666666666666665,2.138,4.116666666666666
3.1333333333333333,2.322,4.5
2.9,1.966,3.683333333333333
3.1,2.254,3.966666666666667
3.7,2.736,4.966666666666667
2.433333333333333,1.7966666666666666,3.25
2.1,1.7633333333333334,3.3
3.6333333333333333,2.9353333333333333,5.483333333333333
2.7333333333333334,2.5073333333333334,4.55
2.8,2.0273333333333334,3.966666666666667
1.4,0.82,1.4833333333333334
4.466666666666667,3.017333333333333,5.583333333333333
5.333333333333333,3.8193333333333332,7.116666666666666
3.433333333333333,2.262,4.566666666666666
2.2,1.638,3.3333333333333335
3.966666666666667,3.056,5.5
1.5333333333333334,1.3686666666666667,2.316666666666667
3.7,3.0913333333333335,5.75
3.6333333333333333,3.3313333333333333,6.05
4.533333333333333,3.759333333333333,6.983333333333333
3.3333333333333335,2.687333333333333,5.2
2.466666666666667,2.167333333333333,3.85
2.933333333333333,2.546666666666667,4.7
2.7333333333333334,2.2306666666666666,4.366666666666666
1.7666666666666666,1.2586666666666666,2.5
2.6333333333333333,1.8106666666666666,3.4833333333333334
3.4,2.6333333333333333,5.1
2.1666666666666665,1.6173333333333333,3.183333333333333
4.0,3.0766666666666667,5.65
2.6333333333333333,2.6146666666666665,4.616666666666666
3.2,2.594,4.95
2.7333333333333334,2.4873333333333334,4.383333333333334
4.066666666666666,3.712,6.6
2.433333333333333,1.4633333333333334,2.7666666666666666
3.8,2.394,4.616666666666666
2.6666666666666665,2.0813333333333333,4.183333333333334
2.6,2.268,4.266666666666667
2.933333333333333,1.682,3.316666666666667
4.066666666666666,2.904,5.65
