three_dim_near_limit_share,vol_top3_concentration,spare_x_wlstd
0.0,0.4651251550523202,495118.85963085
0.0,0.5006480499587604,576975.73499865
0.0,0.9021653118480685,1411238.4888475002
0.0,0.3691803441511683,158102.13998188998
0.0,0.29480112622437243,-185895.06964600002
0.0,0.36922156442876936,361006.94614908
0.0,0.5220931387151226,681786.6662601
0.0,0.3314714525098963,95697.76738732
0.0,0.7460622758226335,978871.58040712
0.0,0.3592513988037816,244825.99865747
0.0,0.37844288957012145,74230.97825656
0.0,0.33611139977138105,-101705.45726074999
0.0,0.4187884369707953,391892.17354232003
0.0,0.5007569323930141,514397.96710419003
0.0,0.46848203939745076,350771.6452832
0.0,0.4815861058798912,617334.2770451399
0.0,0.7327278231910385,695884.0200304501
0.0,0.5304563200537341,801972.6630800201
0.0,0.40173253925284247,323639.52237287996
0.0,0.5451694174507686,676255.58023239
0.0,0.3239073322187724,78907.9346075
0.0,0.43706090879793746,400416.2208068
0.0,0.3744489011171147,429741.46626138
0.0,0.4385732302816674,390693.11036644
0.0,0.34931743563158807,-46060.81476048
0.0,0.5555888522625112,615626.66312526
0.0,0.4057657446932928,381278.38335016003
0.0,0.4389637911505718,502542.2623599
0.0,0.44838143726994395,433089.79778658
0.0,0.4978235061337554,466636.39852429996
0.0,0.3577801616996782,254288.86142137
0.0,0.3418070889018013,324799.3680328
0.0,0.3431612804411089,138991.00481208
0.0,0.6760980120203421,820227.4296363
0.0,0.3919831223628692,242675.10759119998
0.0,0.904735982580294,910603.53236664
0.0,0.7592544654413668,1034999.7649370399
0.0,0.44104436617442727,371197.25075589004
0.0,1.0,806767.7084692101
0.0,0.36279243404678946,176419.4299818
0.0,0.7762450878177881,868957.68680356
0.0,0.2930174002967492,13890.63716348
0.0,0.3445469459062147,-64137.350677530005
0.0,0.380595461170102,236647.95104256002
0.0,0.4908303520994163,475605.86903094995
0.0,0.42776493988943165,382891.76182994
0.0,0.48406209658733573,558138.14619933
0.0,0.4069251681213335,541065.64234084
0.0,0.45600150154847185,499349.86931062996
0.0,0.4013096632723559,318058.67974914
0.0,0.45147247119078104,439774.2708069
0.0,0.4565421551698022,435970.59367722
0.0,0.3338765474454642,281549.42920845
0.0,0.48484848484848486,655239.17945304
0.0,0.4253960929087833,513874.07116464
0.0,0.42876928616935817,325821.1124124
0.0,0.48023703152146935,489909.41100863996
0.0,0.4531292869554614,443538.34146042
0.0,0.4275022094564737,323604.32827408
0.0,0.469517973340072,510347.24462735996
0.0,0.418903385252026,389701.42325995996
0.0,0.5023897625655257,414107.25486576004
0.0,0.4585199886589169,362444.4563138
0.0,0.4077404761247966,309107.0379436
0.0,0.5470421757437702,569400.662943
0.0,0.5190645127957841,617743.64344077
0.0,0.44228007181328544,413023.1627682
0.0,0.5034765142150803,464203.23221272003
0.0,0.31866049899119137,119932.6293566
0.0,0.38473649812845345,294494.10724848
0.0,0.4291079812206573,389197.17596759996
0.0,0.49003116308682104,519273.59038029
0.0,0.39705532320038084,447382.58643279003
0.0,0.4412908588902414,369688.72634498
0.0,0.33502430775734515,-79744.4635449
0.0,0.39300768658566826,164233.5935435
0.0,0.6292804840619108,880188.5568884
0.0,0.48497464858403067,515523.26997514
0.0,0.42904378230465184,605079.36899328
0.0,0.6515859977252623,855629.98341488
0.0,0.39781560562825935,157138.09448976
0.0,0.39643731302692414,303182.09328579996
0.0,0.33617767117917025,61665.92545201
0.0,0.3550308649388706,115571.12112909999
0.0,0.49552877809619167,611317.1416384899
0.0,0.42424242424242425,268426.34512992
0.0,0.3992988899090226,337684.97002206004
0.0,0.33555065028039616,346169.75900227996
0.0,0.4454114795637325,310517.29193912
0.0,0.45389968629430644,466293.37329613
0.0,0.4411520609842314,465833.06806127
0.0,0.44954666008758404,465183.22551842
0.0,0.38381737275862976,272260.60704472
0.0,0.527504342790967,694979.6003644001
0.0,0.4616919798396644,400253.92534772
0.0,0.36627304744147504,346575.03983598
0.0,0.4441027049292874,303678.21777245
0.0,0.395256177131244,259638.43985827998
0.0,0.406769728764371,336956.06758411997
0.0,0.4425882210519944,444585.90430901997
0.0,0.4414625103385335,378372.06767565
0.0,0.3102029696226672,278390.17855320004
0.0,0.5156277101328616,627305.2389108901
0.0,0.4871069436585563,424039.81078269996
0.0,0.39302679375329874,393647.42254580004
0.0,0.7293518915935986,710334.32690844
0.0,0.7774090788425803,721375.68978188
0.0,0.272484037701429,-118120.75851419999
