spare_x_count,near_limit_long_share,vol_cv
147936,0.0,0.5618640902654397
146628,0.0,0.3704242238750739
111186,0.0,0.6283389019964916
108290,0.0,0.5360479923707143
133548,0.0,0.6000770234754447
146211,0.0,0.40368831242728526
141000,0.0,0.5456195870089441
176120,0.0,0.34839635556722387
177280,0.0,0.4441533677475672
122507,0.0,0.330162233891698
166720,0.0,0.5881048126382951
161608,0.0,0.46813849008387365
161100,0.0,0.5141021641764575
231048,0.0,0.3940913144367868
188000,0.0,0.4515296033553786
124773,0.0,0.32634284857999285
205280,0.0,0.48369757750743864
206492,0.0,0.43412230241321065
125279,0.0,0.48218014256864633
161440,0.0,0.5923399818104174
169540,0.0,0.3931233770688005
173000,0.0,0.42613770335967105
188496,0.0,0.6839517954285075
188986,0.0,0.4845727510813742
133620,0.0,0.5152463201205691
184317,0.0,0.5182491168749045
199260,0.0,0.4686174739543883
240570,0.0,0.35745456851521284
163152,0.0,0.5338142563572917
134771,0.0,0.4151848940617384
174370,0.0,0.33071690633218903
108300,0.0,0.3588443367227853
87564,0.0,0.3162757047385115
84098,0.0,0.50575555427661
108020,0.0,0.45952489037884603
79552,0.0,0.534932235690895
156849,0.0,0.4573419898327411
146201,0.0,0.350242558922232
146172,0.0,0.3570506006383319
175076,0.0,0.4349110029132948
82860,0.0,0.5823232315653921
164164,0.0,0.4442528884135313
165348,0.0,0.4123235836086907
144045,0.0,0.36094529722161495
142490,0.0,0.34991989404522006
154737,0.0,0.4627110887587018
202527,0.0,0.45646673157442863
162384,0.0,0.5669312993701843
146025,0.0,0.3429507717917551
184464,0.0,0.4619244717831249
-10560,0.0,0.35973964097440453
232317,0.0,0.44644631037453447
186856,0.0,0.4984395095959154
-29903,0.0,0.46216349168827614
172032,0.0,0.3965709176394739
73584,0.0,0.0909728022579184
172449,0.0,0.38377465064928284
145431,0.0,0.43996836467434053
108864,0.0,0.43895113140130576
142926,0.0,0.4305615625297033
177848,0.0,0.5957120889392851
154224,0.0,0.38415624043646884
81312,0.0,0.0859466805862102
166970,0.0,0.2897481744533276
113265,0.0,0.7316929535759767
125210,0.0,0.29453071896875166
214080,0.0,0.4624482334959749
215150,0.0,0.5467347661430519
124212,0.0,0.520890744733931
195280,0.0,0.3741368695299847
112152,0.0,0.5901078879496657
169912,0.0,0.49811481515671974
94620,0.0,0.4395565256808695
77546,0.0,0.4729238016390133
204192,0.0,0.43135212383343774
144530,0.0,0.5293617714682931
99540,0.0,0.3729731485897
105807,0.0,0.439562636581608
129676,0.0,0.2962140049236737
124474,0.0,0.4328316024330465
146032,0.0,0.47894292577202985
160853,0.0,0.2989302900334153
187083,0.0,0.37360072794532834
147490,0.0,0.26988842861658546
195354,0.0,0.492161017018012
164619,0.0,0.3606935709547919
160752,0.0,0.3925503201728578
171600,0.0,0.3873718831077361
157542,0.0,0.5235094926833277
176932,0.0,0.46367097899455045
8602,0.0,0.4105284712241017
172689,0.0,0.4956362070598147
156840,0.0,0.5860406917391717
104804,0.0,0.4397911870537182
215928,0.0,0.48615087221374376
171060,0.0,0.39729830301702174
160202,0.0,0.5960956445220539
144912,0.0,0.4189529251520485
99090,0.0,0.28358896236384834
114191,0.0,0.27770582124105314
169290,0.0,0.6489767592219569
141889,0.0,0.44672612821715585
174416,0.0,0.3099129069391366
185990,0.0,0.41870297106484095
81228,0.0,0.3258493190054565
183000,0.0,0.5210979986082126
146960,0.0,0.434960113859206
142483,0.0,0.5460260395574863
122928,0.0,0.4729741950286422
205062,0.0,0.4661437040170845
111111,0.0,0.3264852352108513
205972,0.0,0.3309111501205155
-127925,0.0,0.3615413521449885
179340,0.0,0.43889030550646835
47670,0.0,0.3722586794124595
116796,0.0,0.4263583888116316
150417,0.0,0.4451657637898912
129396,0.0,0.5331262309212642
110151,0.0,0.6575684441164411
161865,0.0,0.525455911990537
55796,0.0,0.44993530163548784
164336,0.0,0.3355996204110493
75985,0.0,0.4260820758373844
38077,0.0,0.31220031374183244
70774,0.0,0.43297340076314716
153307,0.0,0.3842487509512027
139623,0.0,0.4493072775946367
166212,0.0,0.34904010775604544
191994,0.0,0.3707436392366518
108691,0.0,0.34226245762365803
165720,0.0,0.47827205451031735
143664,0.0,0.5098639141990332
171864,0.0,0.6340812572824478
142497,0.0,0.43870303793485105
173921,0.0,0.4002970498862463
145620,0.0,0.48906771556019113
139840,0.0,0.43222784793247
91956,0.0,0.38646991486225063
163048,0.0,0.5588980157097923
143773,0.0,0.47595033820259186
106301,0.0,0.5004652919492576
135590,0.0,0.469018217720026
195390,0.0,0.522174719406231
124396,0.0,0.7380153626978009
70905,0.0,0.5284272812349666
-97812,0.0,0.4697116398028162
145684,0.0,0.3567537932126309
198864,0.0,0.41839553718350686
49699,0.0,0.36902603917322674
128815,0.0,0.4588140051401014
122066,0.0,0.4516395539806987
29471,0.0,0.4347776046395611
-49840,0.0,0.4724852775243772
136092,0.0,0.513187246492355
161253,0.0,0.45811091954957534
104800,0.0,0.4602959983259726
163260,0.0,0.5615762332814812
170910,0.0,0.5202126922293779
190611,0.0,0.623597036741426
141048,0.0,0.42801534726972673
204408,0.0,0.4507677324033403
40690,0.0,0.34433270056840853
139700,0.0,0.36492176035828516
177996,0.0,0.34506709937450314
140770,0.0,0.4288077969230887
-19440,0.0,0.479647271379661
199824,0.0,0.4481995446724288
129576,0.0,0.5227707694338343
158679,0.0,0.36244076966535005
143379,0.0,0.36200757613182777
177570,0.0,0.4570067122270811
94934,0.0,0.5380468771209842
137540,0.0,0.42680188654027146
81564,0.0,0.4244515709762369
163590,0.0,0.6215912233192015
92040,0.0,0.5356421801473286
135912,0.0,0.6248001165896018
167055,0.0,0.5436256603069871
154583,0.0,0.4607767454421757
81526,0.0,0.9576064929073423
72300,0.0,0.525617479027536
162655,0.0,0.5756648402150873
7770,0.0,0.3487470019476012
-29055,0.0,0.4589478997817004
92064,0.0,0.5457936049931018
166005,0.0,0.44860901718344437
129756,0.0,0.5199945971722083
162679,0.0,0.6153297644167978
187484,0.0,0.4116266905594726
156396,0.0,0.5895230453563447
128799,0.0,0.4040371045516318
176650,0.0,0.423919153554832
131901,0.0,0.5081848536124886
140322,0.0,0.40103229237690735
176904,0.0,0.4587861004614713
170964,0.0,0.32876200554886903
115687,0.0,0.5976112927181894
153216,0.0,0.6458426494817902
134167,0.0,0.5070475204752313
114296,0.0,0.5565370221295042
133420,0.0,0.511085136483334
