spare_x_wlmax,total_footprint_ratio,cross_dim_pressure_count
2787850.0,1.7753333333333334,0
84933.333317,3.308666666666667,0
2276960.0,2.1586666666666665,0
2080750.0,1.9433333333333334,0
2805737.9173703003,1.8293333333333333,0
1088879.9997906,2.780666666666667,0
2850119.9994519,1.9786666666666666,0
3207360.0,1.568,0
1847040.0,2.4486666666666665,0
4009600.0012529995,0.5766666666666667,0
-79200.0,3.489333333333333,0
-387399.99992549996,3.783333333333333,0
3936625.0,1.0713333333333332,0
3640650.0,1.1493333333333333,0
62226.6666547,3.26,0
4325120.0,1.35,0
-946053.3331514,3.6433333333333335,0
822466.6665085,3.0393333333333334,0
3064125.0,1.8153333333333332,0
530053.3332314,3.364,0
1880372.0838049,2.5953333333333335,0
2619239.9994963,2.259333333333333,0
2079520.0,2.6266666666666665,0
2506500.0,1.8246666666666667,0
2225157.9172247,2.072,0
3196320.0,1.8826666666666667,0
1634000.0,2.5686666666666667,0
3616560.0,1.0806666666666667,0
465760.0,3.3706666666666667,0
1243680.0,3.021333333333333,0
2867106.6661153,2.1166666666666667,0
1589625.0,2.738,0
953550.0,3.166,0
5223573.3323288,0.904,0
3931893.3325771997,1.408,0
873794.1668858001,3.4466666666666668,0
3814200.0,1.0666666666666667,0
365559.9999297,3.3646666666666665,0
