spare_cap_x_wl_total,spare_cap_x_sku_counts,spare_cap_sq,hH_x_lL,big_piece_share,spare_cap_x_wl_max,item_vol_cv,long_item_share,wl_cv,fragile_share,spare_cap_cubed,wl_max_to_avg,tight_x_high_wl,sku_counts_x_lL,spare_cap_x_wl_cv,near_h_limit_share,wl_total_sq,load_util_ratio,multi_dim_tight_share,dim_l_tail_ratio
20191750.0,213795,564300025,0.0679012343765432,0.1111111111111111,4008656.25,0.4806307308815567,0.1111111111111111,0.4357360587832999,0.0,13404947093875,1.7867646870477512,0,3.33333333,10350.910184899183,0.6666666666666666,722500.0,0.0,0.0,1.18399999995264
20241840.0,222336,343286784,0.07116898157407407,0.25,2972200.0006176,0.4782481329050595,0.25,0.4607239506204885,0.0,6360417533952,1.7620137109248102,0,4.766666664000001,8536.293449921277,0.6666666666666666,1193556.25,0.0,0.0,1.3836734693312787
16363924.9993146,143934,422795844,0.08336734700646259,0.2857142857142857,3838240.0006854003,0.5374243917761106,0.2857142857142857,0.3341512007480605,0.0,8693528144328,1.6418848024678712,0,2.849999999,6870.817049611688,0.7142857142857143,633350.6943913889,0.0,0.2857142857142857,1.25599999994976
10926218.333703399,111020,123254404,0.08181944424888889,0.1,2151012.5,0.6583537356352169,0.1,0.4905534192834351,0.0,1368370393208,1.9686705980501322,0,3.58333333,5446.124115668739,0.6,968584.0278433888,0.0,0.1,1.2166666666159722
14702266.25,181790,330476041,0.0823555556011111,0.2,2272375.0,0.4717675526210841,0.2,0.308813601127498,0.0,6007723949339,1.5455950349849146,0,3.6333333299999997,5613.922523617444,0.5,654076.5625,0.0,0.1,1.6615384614532545
20797562.5,236280,387696100,0.06848186713688272,0.25,3158604.1673230003,0.38161165451287216,0.25,0.4497669374682011,0.0,7633736209000,1.82248518684315,0,4.516666668,8855.911098354298,0.5833333333333334,1115664.0625,0.0,0.0,1.4124999999411458
15911074.999278001,173280,469155600,0.07777343743125,0.125,3871725.0,0.7167683451522293,0.125,0.45943677145627343,0.0,10161910296000,1.94668177112826,0,3.016666664,9951.400577035123,0.625,539612.6735621389,0.0,0.125,1.2488888888333827
14981087.9161251,129976,263965009,0.08628038173888888,0.25,3032773.3338749,0.48981688837439785,0.25,0.4003969412996497,0.0,4288639501223,1.6195209979704943,0,3.216666664,6505.249161170589,0.75,850237.673549639,0.0,0.25,1.2775510203560183
17893759.161534,200174,237098404,0.07175706777754766,0.23076923076923078,2470095.8338466003,0.38000988587217716,0.23076923076923078,0.41594687943053704,0.0,3650841224792,1.7945499982457749,0,4.883333338,6404.750120403614,0.6153846153846154,1350437.672836389,0.0,0.0,1.46956521732741
17520687.495075002,192075,218300625,0.07121794850384615,0.23076923076923078,2370156.2504925,0.4885516973797436,0.23076923076923078,0.44041101047891434,0.0,3225391734375,1.758608554483086,0,5.049999994,6507.072750448047,0.6923076923076923,1406200.693653889,0.0,0.07692307692307693,1.3359999999465602
8235416.6689,87100,44890000,0.07695266293708086,0.15384615384615385,1298125.0,0.7192202851731471,0.15384615384615385,0.47142707663129907,0.0,300763000000,2.0491525207282737,0,4.816666673,3158.5614465014482,0.6923076923076923,1510850.6952638887,0.0,0.07692307692307693,1.3217391303773158
11191938.336267,88010,77457601,0.090675,0.4,1705193.75,0.5645054439084419,0.4,0.30974239706369217,0.0,681704346401,1.523591075430846,0,4.65,2726.0428577799594,0.9,1617136.1119588888,0.0,0.1,1.1964912280281934
4451874.584329,35844,8922169,0.08811342603657409,0.3333333333333333,578731.25,0.5550922634800586,0.3333333333333333,0.31895126626115156,0.0,26650518803,1.5599664396348274,0,5.516666664000001,952.7074399160196,0.9166666666666666,2221341.841271389,0.0,0.08333333333333333,1.185964912239089
17899212.500625297,225108,351900081,0.0660937498875,0.08333333333333333,2407404.9993747,0.4908498135508733,0.08333333333333333,0.38767750807619306,0.0,6601293619479,1.6139737783868593,0,4.050000000000001,7272.442464547977,0.5833333333333334,910434.0278413888,0.0,0.0,1.1818181817644628
16137135.416123101,163070,265918249,0.0913194442288889,0.4,2615914.5838769,0.36294013418437115,0.4,0.30827982803618803,0.0,4336328886443,1.6210526155892302,0,4.38333333,5027.119206078477,0.7,979275.173545139,0.0,0.1,1.189830508434243
11359264.999621201,102276,129140496,0.09426954721563786,0.3333333333333333,2031315.0,0.530760574371236,0.3333333333333333,0.3553597569645454,0.0,1467552596544,1.609420577637153,0,3.850000002,4038.3083141414195,0.6666666666666666,999166.840211139,0.0,0.3333333333333333,1.3037037036554184
