spare_vol_per_item,bulky_item_share,dim_m_p90_to_vw
1591.111111111111,0.1111111111111111,0.6559999999999999
1244.8333333333333,0.0,0.68
2622.0,0.0,0.664
2314.75,0.125,0.652
5346.2,0.2,0.624
2287.25,0.25,0.652
606.2,0.0,0.68
152.3125,0.0625,0.68
3051.8888888888887,0.0,0.68
2861.125,0.0,0.652
2065.8888888888887,0.0,0.6240000000000001
1314.1818181818182,0.09090909090909091,0.68
306.7857142857143,0.07142857142857142,0.6680000000000001
486.15384615384613,0.07692307692307693,0.664
3818.4285714285716,0.0,0.6559999999999999
1475.3,0.0,0.612
1829.6,0.1,0.68
3559.1428571428573,0.0,0.6480000000000001
625.7692307692307,0.07692307692307693,0.672
8427.25,0.0,0.6559999999999999
7188.0,0.25,0.616
240.07142857142858,0.07142857142857142,0.68
3699.5714285714284,0.0,0.68
642.0833333333334,0.08333333333333333,0.6759999999999999
2394.777777777778,0.0,0.68
1454.111111111111,0.1111111111111111,0.688
1347.5833333333333,0.0,0.68
3550.0,0.16666666666666666,0.68
530.5333333333333,0.0,0.68
5591.2,0.0,0.6559999999999999
81.375,0.0625,0.68
-31.933333333333334,0.06666666666666667,0.68
4956.166666666667,0.0,0.68
297.3076923076923,0.07692307692307693,0.672
3174.125,0.0,0.68
924.7,0.1,0.684
2494.285714285714,0.14285714285714285,0.672
842.7142857142857,0.0,0.68
342.8,0.06666666666666667,0.68
591.5333333333333,0.06666666666666667,0.68
1728.9,0.1,0.604
1987.4,0.0,0.648
1008.9285714285714,0.07142857142857142,0.6
1681.2727272727273,0.09090909090909091,0.64
764.6,0.06666666666666667,0.624
1524.9166666666667,0.08333333333333333,0.596
1247.2727272727273,0.09090909090909091,0.6
2415.375,0.125,0.6359999999999999
494.5,0.07142857142857142,0.628
969.2857142857143,0.07142857142857142,0.5880000000000001
1248.0,0.08333333333333333,0.596
2962.125,0.125,0.612
1729.0,0.1111111111111111,0.6240000000000001
3141.875,0.125,0.5720000000000001
1761.2727272727273,0.0,0.64
1458.5454545454545,0.09090909090909091,0.6
3171.125,0.0,0.612
787.8333333333334,0.08333333333333333,0.6
2400.125,0.125,0.6359999999999999
1656.0,0.09090909090909091,0.6
1781.4444444444443,0.1111111111111111,0.6240000000000001
1680.8181818181818,0.0,0.72
1813.3,0.0,0.648
1942.909090909091,0.0,0.6
898.9230769230769,0.07692307692307693,0.632
1063.3846153846155,0.07692307692307693,0.5920000000000001
3622.875,0.0,0.544
1592.5454545454545,0.09090909090909091,0.6
830.5384615384615,0.07692307692307693,0.5920000000000001
2012.6,0.0,0.648
3382.0,0.0,0.584
2485.222222222222,0.1111111111111111,0.568
1645.6363636363637,0.09090909090909091,0.64
1042.076923076923,0.0,0.632
1771.6363636363637,0.0,0.6
1126.8333333333333,0.08333333333333333,0.636
-212.27777777777777,0.1111111111111111,0.612
4225.428571428572,0.0,0.56
859.7857142857143,0.07142857142857142,0.6
2206.4444444444443,0.1111111111111111,0.6
851.0714285714286,0.07142857142857142,0.5880000000000001
1202.5833333333333,0.08333333333333333,0.636
1671.8181818181818,0.0,0.6
1773.3,0.0,0.648
989.3636363636364,0.18181818181818182,0.6
2952.5,0.0,0.664
2214.2,0.0,0.648
875.3846153846154,0.07692307692307693,0.632
3012.125,0.125,0.612
12693.666666666666,0.0,0.616
2092.0,0.1,0.604
859.8333333333334,0.08333333333333333,0.6
2136.4444444444443,0.0,0.6559999999999999
2833.777777777778,0.0,0.5760000000000001
1263.7692307692307,0.07692307692307693,0.6
2005.4,0.0,0.648
2300.8,0.1,0.604
603.2857142857143,0.07142857142857142,0.628
298.7142857142857,0.14285714285714285,0.6
1929.1,0.0,0.648
1155.25,0.08333333333333333,0.6
1523.75,0.0,0.636
1906.5454545454545,0.0,0.6
992.0,0.08333333333333333,0.636
901.5,0.07142857142857142,0.628
2019.0,0.1111111111111111,0.6240000000000001
-119.58823529411765,0.058823529411764705,0.672
3443.875,0.0,0.58
854.5333333333333,0.06666666666666667,0.584
1099.6923076923076,0.07692307692307693,0.5920000000000001
2549.4444444444443,0.1111111111111111,0.608
2709.222222222222,0.1111111111111111,0.568
5296.166666666667,0.0,0.62
3330.5,0.0,0.608
31.75,0.125,0.62
933.3571428571429,0.07142857142857142,0.5880000000000001
1177.6,0.1,0.648
2412.3333333333335,0.0,0.6559999999999999
820.7857142857143,0.07142857142857142,0.5880000000000001
730.5714285714286,0.07142857142857142,0.628
1977.7,0.1,0.604
5086.833333333333,0.0,0.58
2340.4444444444443,0.1111111111111111,0.64
1298.5833333333333,0.08333333333333333,0.636
1147.0,0.07142857142857142,0.5880000000000001
2701.222222222222,0.0,0.56
1221.076923076923,0.07692307692307693,0.5920000000000001
2360.4444444444443,0.0,0.6240000000000001
827.0769230769231,0.07692307692307693,0.632
1211.6363636363637,0.09090909090909091,0.72
2664.777777777778,0.1111111111111111,0.568
2432.777777777778,0.1111111111111111,0.568
2556.1111111111113,0.1111111111111111,0.6240000000000001
726.2666666666667,0.0,0.64
978.2727272727273,0.18181818181818182,0.6
102.53333333333333,0.13333333333333333,0.624
2977.6666666666665,0.0,0.56
2052.6,0.0,0.648
913.9285714285714,0.0,0.628
831.2142857142857,0.07142857142857142,0.6
822.5,0.07142857142857142,0.5880000000000001
2052.0,0.1,0.604
2031.5,0.0,0.72
1291.0,0.1,0.648
1334.2727272727273,0.09090909090909091,0.6
2808.5,0.0,0.664
1877.4444444444443,0.1111111111111111,0.6240000000000001
942.0714285714286,0.07142857142857142,0.6
1459.8181818181818,0.0,0.72
1600.25,0.0,0.56
