q90_l_to_L,spare_cap_x_n_wide,height_tail_share
0.5333333333333333,15594,0.0
0.535,24064,0.0
0.54,40490,0.0
0.4666666666666667,21438,0.0
0.535,47248,0.0
0.4033333333333334,73134,0.0
0.5333333333333333,24608,0.0
0.5283333333333333,14616,0.0
0.535,19680,0.0
0.5366666666666666,13136,0.0
0.5333333333333333,27224,0.0
0.555,19771,0.0
0.5333333333333333,7445,0.0
0.4916666666666667,30026,0.0
0.4866666666666667,23046,0.0
0.5333333333333333,6212,0.0
0.5033333333333333,19206,0.0
0.5333333333333333,10052,0.0
0.52,3541,0.0
0.55,25717,0.0
0.5333333333333333,11772,0.0
0.43333333333333335,63360,0.0
0.5333333333333333,-12867,0.0
0.5183333333333334,17616,0.0
0.5333333333333333,-8915,0.0
0.5133333333333333,19492,0.0
0.5333333333333333,22518,0.0
0.525,52344,0.0
0.5233333333333333,0,0.0
0.5283333333333333,26612,0.0
0.5333333333333333,-1946,0.0
0.5333333333333333,15745,0.0
0.5333333333333333,13513,0.0
0.5416666666666667,-6314,0.0
0.5333333333333333,15184,0.0
0.54,22164,0.0
0.545,0,0.0
0.5183333333333334,8896,0.0
0.55,24730,0.0
0.5333333333333333,26120,0.0
0.5466666666666666,0,0.0
0.5333333333333333,0,0.0
0.5466666666666666,21741,0.0
0.5166666666666667,52868,0.0
0.5333333333333333,18542,0.0
0.5533333333333333,0,0.0
0.5083333333333333,20016,0.0
0.5333333333333333,26755,0.0
0.5466666666666666,20362,0.0
0.55,0,0.0
0.5333333333333333,-481,0.0
0.5333333333333333,7732,0.0
0.5033333333333333,21526,0.0
0.5333333333333333,3666,0.0
0.5333333333333333,-4360,0.0
0.475,32849,0.0
0.5366666666666666,22212,0.0
0.5233333333333333,38188,0.0
0.5366666666666666,14744,0.0
0.45,32638,0.0
0.5333333333333333,-6182,0.0
0.41000000000000003,0,0.0
0.5333333333333333,666,0.0
0.5633333333333334,0,0.0
0.5333333333333333,11458,0.0
0.5133333333333333,0,0.0
0.5,0,0.0
0.5333333333333333,-4256,0.0
0.5233333333333333,0,0.0
0.5333333333333333,55136,0.0
0.5333333333333333,13116,0.0
0.5333333333333333,-21308,0.0
0.49833333333333335,37086,0.0
0.5266666666666667,31071,0.0
0.5383333333333333,0,0.0
0.47333333333333333,55695,0.0
0.5333333333333333,20563,0.0
0.48000000000000004,43490,0.0
0.47,19336,0.0
0.5333333333333333,13692,0.0
0.4966666666666667,14465,0.0
0.4733333333333334,28481,0.0
0.5333333333333333,29661,0.0
0.5333333333333333,11859,0.0
0.5033333333333333,21445,0.0
0.5033333333333333,1960,0.0
0.5333333333333333,42693,0.0
0.5033333333333333,33292,0.0
0.45666666666666667,42218,0.0
