two_dim_large_share,spare_x_p90long,cube_item_share
0.07692307692307693,6828.783333333334,0.46153846153846156
0.1111111111111111,9889.066666666666,0.1111111111111111
0.4,15774.98,0.2
0.0625,2543.7,0.375
0.16666666666666666,14269.333333333334,0.16666666666666666
0.2857142857142857,11131.226666666666,0.0
0.16666666666666666,14859.900000000001,0.0
0.11764705882352941,-256.5333333333333,0.11764705882352941
0.14285714285714285,4123.733333333334,0.14285714285714285
0.14285714285714285,10834.753333333336,0.14285714285714285
0.058823529411764705,651.7333333333333,0.29411764705882354
0.125,-581.3333333333334,0.3125
0.0,15603.275,0.3333333333333333
0.1111111111111111,11920.440000000002,0.3333333333333333
0.07692307692307693,4996.263333333333,0.3076923076923077
0.2,7912.613333333335,0.1
0.0,14687.1,0.3333333333333333
0.11764705882352941,-1648.5333333333333,0.11764705882352941
0.0,14921.95,0.3333333333333333
0.14285714285714285,355.2,0.07142857142857142
1.0,20907.55333333333,0.0
0.15384615384615385,3055.4666666666667,0.23076923076923078
0.14285714285714285,12621.84,0.0
0.0,6865.5,0.09090909090909091
0.125,-1134.9333333333334,0.1875
0.0,18542.746666666666,0.0
0.09090909090909091,7351.466666666666,0.2727272727272727
0.2222222222222222,6995.2,0.0
0.1111111111111111,-2841.0666666666666,0.3333333333333333
0.0,18481.190000000002,0.25
0.08333333333333333,5454.686666666667,0.25
0.125,12042.516666666666,0.125
0.0,8787.433333333332,0.3
0.125,10966.933333333332,0.0
0.1111111111111111,10437.6,0.3333333333333333
0.06666666666666667,2271.98,0.4
0.14285714285714285,2434.133333333333,0.21428571428571427
0.0,7184.283333333334,0.23076923076923078
0.0,13481.006666666668,0.2857142857142857
0.07692307692307693,5273.066666666667,0.3076923076923077
0.2,6324.8,0.0
0.0,10793.983333333332,0.3
0.058823529411764705,246.63333333333338,0.35294117647058826
0.09090909090909091,7589.866666666667,0.36363636363636365
0.0,8378.486666666666,0.3
0.0,9639.776666666667,0.3333333333333333
0.14285714285714285,3350.4,0.2857142857142857
0.09090909090909091,8769.6,0.36363636363636365
0.16666666666666666,14254.933333333332,0.0
0.18181818181818182,6156.8,0.2727272727272727
0.3333333333333333,19170.9,0.3333333333333333
0.0625,-264.0,0.1875
0.125,-1192.0,0.125
0.2,17006.219999999998,0.2
0.0,12322.2,0.42857142857142855
0.0625,182.49166666666665,0.3125
0.14285714285714285,14597.279999999999,0.2857142857142857
0.11764705882352941,-2910.9333333333334,0.29411764705882354
0.15384615384615385,2530.6666666666665,0.15384615384615385
0.125,12746.76,0.125
0.2,1630.9333333333334,0.2
0.1,7545.066666666667,0.0
0.18181818181818182,8059.2,0.2727272727272727
0.18181818181818182,6931.733333333334,0.09090909090909091
0.1111111111111111,10293.359999999999,0.3333333333333333
0.0,7589.253333333333,0.3
0.25,10754.285,0.125
0.08333333333333333,6514.213333333333,0.25
0.2,16073.6,0.2
0.13333333333333333,1581.6433333333334,0.2
0.15384615384615385,4145.6,0.07692307692307693
0.2222222222222222,8821.866666666667,0.2222222222222222
0.08333333333333333,6782.4,0.08333333333333333
0.06666666666666667,3912.0,0.2
0.6666666666666666,16072.533333333333,0.0
0.4,12098.133333333333,0.0
0.0625,3396.566666666667,0.1875
0.25,15648.0,0.0
0.14285714285714285,1124.8,0.14285714285714285
0.14285714285714285,3678.9333333333334,0.21428571428571427
0.1111111111111111,-3978.133333333333,0.1111111111111111
0.09090909090909091,6349.066666666667,0.2727272727272727
0.05555555555555555,352.0,0.3333333333333333
0.10526315789473684,-3197.866666666667,0.3157894736842105
0.07142857142857142,2226.086666666667,0.35714285714285715
0.09090909090909091,4874.416666666667,0.2727272727272727
0.08333333333333333,9229.866666666667,0.3333333333333333
0.10526315789473684,-5227.733333333334,0.2631578947368421
0.0,14381.293333333335,0.5
0.14285714285714285,-40.53333333333333,0.21428571428571427
0.18181818181818182,4339.733333333334,0.2727272727272727
0.0,17489.2,0.0
0.0,15715.14,0.6666666666666666
0.14285714285714285,14064.299999999997,0.14285714285714285
0.15384615384615385,3735.4666666666667,0.23076923076923078
0.0,17921.97,0.25
0.1,10199.775000000001,0.1
0.06666666666666667,1696.0,0.2
0.4,16527.513333333332,0.2
0.08333333333333333,6193.6,0.08333333333333333
0.0,11032.159999999998,0.1111111111111111
0.2727272727272727,6201.250000000001,0.2727272727272727
0.18181818181818182,7520.533333333333,0.09090909090909091
