spare_cap_x_wl_total,spare_cap_x_sku_counts,spare_cap_sq,hH_x_lL,big_piece_share
13198964.9995593,145431,174794841,0.09853076219651055,0.2727272727272727
10886400.0,108864,1316818944,0.09388888896111111,0.3333333333333333
13101549.996597,142926,104223681,0.06628117903310658,0.14285714285714285
16653040.0,177848,261404224,0.07698806227860422,0.18181818181818182
15329579.999428801,154224,293642496,0.10202331945260631,0.2222222222222222
6911520.0,81312,1652910336,0.09027777756388888,0.5
15180355.8338899,166970,278789809,0.1061555556361111,0.2
9596062.5012585,113265,1425440025,0.05805555551111111,0.0
12656644.162493,125210,156775441,0.11235833349499999,0.5
17492119.999286402,214080,458302464,0.06766666660000001,0.1
16817558.3340505,215150,462895225,0.061950000105,0.0
12718791.25,124212,107143201,0.08108024680030863,0.25
17420603.3326824,195280,381342784,0.08644166673499999,0.2
8660626.6679128,112152,1397563456,0.08546296299814815,0.3333333333333333
17451378.334041297,169912,451095121,0.08315104173125,0.25
8983643.335436,94620,39790864,0.08058641948246914,0.2
7191468.331487,77546,30680521,0.09412556670776644,0.2857142857142857
18282746.6659104,204192,514745344,0.07960905346502058,0.3333333333333333
14055542.5,144530,208889209,0.081341666595,0.1
12248950.001106,99540,1100912400,0.10370370367407407,0.3333333333333333
10214445.0,105807,66243321,0.07767422739372123,0.23076923076923078
13440377.0822527,129676,1050991561,0.100312499925,0.0
14936880.0,124474,316199524,0.1133503399377551,0.5714285714285714
14565170.833941799,146032,333208516,0.11277777753888889,0.375
15299313.75,160853,213832129,0.08458677691776859,0.18181818181818182
16075946.245203001,187083,207100881,0.0715894149093031,0.07692307692307693
14650673.3328417,147490,217533001,0.10706666674,0.4
16198102.5,195354,471150436,0.07105624137153635,0.1111111111111111
15517451.254221,164619,160351569,0.07842866549312953,0.23076923076923078
16811980.0006698,160752,403768836,0.1040364582625,0.5
16037449.999428,171600,294465600,0.09966666682000001,0.3
15557272.5,157542,689430049,0.08737654318734567,0.3333333333333333
15513145.0,176932,638876176,0.07551020389931973,0.14285714285714285
758367.5,8602,256036,0.08863321783633218,0.23529411764705882
15967191.244767,172689,246458601,0.08152203885523417,0.36363636363636365
15477058.332462002,156840,683299600,0.10246913567530865,0.16666666666666666
9744276.669162,104804,56040196,0.08532312921258503,0.2857142857142857
18117708.75,215928,728514081,0.07067708345625001,0.25
15199393.75,171060,203205025,0.07773148149907406,0.25
16296739.165903801,160202,523768996,0.0857709751456916,0.14285714285714285
13660975.0,144912,145829776,0.08938850280246914,0.25
11548113.753302999,99090,98188281,0.10618611134888888,0.5
11661323.329873001,114191,107765161,0.10658402197658402,0.36363636363636365
16668011.2494357,169290,286591041,0.07572499993500001,0.3
13275220.837632999,141889,166384201,0.09388429737630853,0.18181818181818182
15201940.0,174416,251412736,0.08568181821515151,0.18181818181818182
16669353.75,185990,345922801,0.0752888889461111,0.2
8500735.831077,81228,45819361,0.10418209902623457,0.3333333333333333
16218375.0,183000,334890000,0.07024722227111112,0.1
13621633.32888,146960,178489600,0.0948737375459596,0.18181818181818182
14696257.912349,142483,167780209,0.08490358121763085,0.2727272727272727
12950123.336748,122928,104939536,0.0861111112,0.3333333333333333
19069212.506214,205062,347524164,0.06474288343438936,0.18181818181818182
