dominant_type_share,p90_long_over_bin_long,p90_mid_over_bin_mid,thin_item_share,max_face_area_load_over_floor,tight_bin_large_piece_interaction
0.08333333333333333,0.5333333333333333,0.5666666666666667,0.75,2.914,0.0
0.08333333333333333,0.5483333333333333,0.5633333333333332,0.8333333333333334,3.15,0.02075137037037038
0.07142857142857142,0.5333333333333333,0.5666666666666667,0.6428571428571429,3.066,0.035472592592592604
0.1,0.5366666666666667,0.5700000000000001,0.8,2.6893333333333334,0.0
0.5,0.4983333333333333,0.38666666666666666,1.0,0.39466666666666667,0.0
0.09090909090909091,0.5333333333333333,0.5333333333333333,0.6363636363636364,2.441333333333333,0.0
0.09090909090909091,0.5333333333333333,0.5666666666666667,0.9090909090909091,2.747333333333333,0.0
0.08333333333333333,0.5266666666666667,0.5333333333333333,0.5,2.5906666666666665,0.0
0.09090909090909091,0.5333333333333333,0.5666666666666667,0.7272727272727273,2.456,0.0
0.5,0.4,0.44333333333333336,0.5,0.25666666666666665,0.0
0.09090909090909091,0.5333333333333333,0.5666666666666667,0.36363636363636365,2.138,0.0
0.08333333333333333,0.525,0.5,0.3333333333333333,2.2746666666666666,0.0
0.1111111111111111,0.5399999999999999,0.5733333333333334,0.6666666666666666,2.17,0.0
0.1,0.5366666666666667,0.5700000000000001,0.7,2.5193333333333334,0.0
0.1111111111111111,0.5399999999999999,0.5733333333333334,0.5555555555555556,2.082666666666667,0.0
0.07692307692307693,0.4766666666666667,0.5666666666666667,0.5384615384615384,2.4013333333333335,0.0
0.08333333333333333,0.48166666666666663,0.5633333333333332,0.6666666666666666,2.5893333333333333,0.0
0.1111111111111111,0.5399999999999999,0.5733333333333334,0.8888888888888888,2.3886666666666665,0.0
0.16666666666666666,0.5283333333333334,0.5666666666666667,0.6666666666666666,2.4266666666666667,0.0
0.0625,0.5333333333333333,0.55,0.6875,3.5873333333333335,0.11448888888888889
0.1111111111111111,0.5066666666666666,0.5666666666666667,0.6666666666666666,1.5326666666666666,0.0
0.125,0.5383333333333333,0.52,0.375,1.572,0.0
0.058823529411764705,0.5333333333333333,0.5666666666666667,0.5882352941176471,3.5973333333333333,0.12751407407407409
0.125,0.5333333333333333,0.5533333333333333,0.875,1.9626666666666666,0.0
0.5,0.5233333333333333,0.4966666666666667,0.5,0.5626666666666666,0.0
0.1111111111111111,0.5366666666666667,0.5133333333333333,0.3333333333333333,1.8466666666666667,0.0
