pressure_product,max_dim_l_to_min_floor,count_vol_fill_interaction
20.369777777777777,1.32,20.1736
7.7661999999999995,1.32,7.7625777777777785
3.6036,1.2,3.5808
12.122133333333334,1.36,11.895577777777778
2.0986222222222226,1.28,2.1374444444444443
11.437933333333335,1.36,11.287422222222222
12.103844444444444,1.28,12.34508888888889
17.04231111111111,1.28,17.107555555555557
8.957777777777778,1.28,8.975733333333332
5.346088888888889,1.36,5.4166
7.4702222222222225,1.28,7.671111111111111
6.097155555555555,1.28,6.372
2.223644444444444,1.36,2.202
4.768088888888888,1.28,4.764200000000001
8.953333333333333,1.28,8.8656
3.504222222222222,1.2,3.4576
12.306666666666667,1.36,12.095777777777776
6.885288888888888,1.36,6.895555555555556
8.3008,1.2,8.044533333333334
6.798711111111111,1.36,6.871777777777778
15.095466666666667,1.36,15.431999999999999
3.5607777777777776,1.28,3.559466666666667
9.0972,1.32,9.120533333333332
5.550222222222222,1.36,5.4738
5.8968,1.36,5.8138
4.933866666666666,1.2,5.054
11.8096,1.32,11.890355555555555
9.885777777777777,1.32,9.943555555555555
12.229822222222221,1.28,12.187466666666667
3.235333333333333,1.28,3.364666666666667
10.743555555555556,1.28,10.954666666666666
0.9381555555555556,1.28,0.9797333333333333
1.2861777777777779,1.28,1.2876666666666667
7.603555555555555,1.36,7.564822222222222
0.1650888888888889,0.76,0.18831111111111112
13.327733333333331,1.28,13.393333333333333
1.3391111111111111,1.2,1.3854444444444445
15.146866666666666,1.36,14.827333333333334
15.75,1.36,15.645666666666667
11.702044444444445,1.28,11.954133333333333
5.237555555555557,1.36,5.311
9.048,1.28,9.116533333333333
7.055555555555556,1.28,7.384911111111111
6.99608888888889,1.32,6.833688888888889
8.384400000000001,1.28,8.524533333333334
8.148977777777779,1.32,8.1378
6.193777777777777,1.36,6.0744444444444445
8.148755555555555,1.36,8.068866666666667
11.016377777777777,1.28,10.881733333333333
5.043333333333334,1.32,5.0688
5.315422222222223,1.32,5.2008
10.181111111111113,1.28,10.429177777777777
8.215822222222222,1.28,8.5952
8.028555555555556,1.28,8.018511111111112
10.4168,1.28,10.460088888888889
6.796222222222223,1.28,7.035111111111111
9.032533333333333,1.28,9.279466666666668
5.2832,1.36,5.1888000000000005
8.264533333333334,1.28,8.621555555555556
9.432644444444445,1.28,9.666933333333333
