footprint_pressure,spare_cap_x_n_tall_items,n_long_tall_items
1.2613333333333334,-25333,1
0.308,65754,1
1.1453333333333333,4350,1
0.9413333333333334,36642,1
0.628,69453,1
0.7366666666666667,57280,1
0.8326666666666667,74690,1
0.598,62928,0
0.692,55554,1
0.48733333333333334,26731,1
0.7933333333333333,36596,1
1.0353333333333334,36372,0
1.174,12185,1
0.6086666666666667,54934,0
0.5846666666666667,68667,1
0.6593333333333333,18593,0
0.8906666666666667,57824,1
1.1126666666666667,17180,1
1.0453333333333332,12640,0
0.5046666666666667,80187,1
0.7393333333333333,14753,0
0.8106666666666666,73184,1
0.5173333333333333,24914,0
1.0326666666666666,32540,1
0.316,33709,1
0.368,28752,1
1.0726666666666667,16805,1
0.49666666666666665,103588,1
0.9566666666666667,30820,1
0.6126666666666667,107765,1
0.7526666666666667,52348,1
0.8166666666666667,80855,1
0.548,42600,1
1.0213333333333334,55706,1
0.4093333333333333,27956,0
1.16,10416,2
1.1526666666666667,-2395,1
0.4166666666666667,118948,1
1.0366666666666666,15460,1
0.5326666666666666,126965,1
0.8326666666666667,36988,1
0.628,34920,1
0.9413333333333334,82586,1
1.08,41136,2
1.1366666666666667,26619,0
0.758,17289,0
0.808,39748,0
1.034,28250,0
0.7406666666666667,36988,0
1.0353333333333334,34407,0
0.7946666666666666,18299,0
0.8293333333333334,27440,0
0.7366666666666667,19323,0
1.1606666666666667,20769,0
0.9286666666666666,27140,0
0.8853333333333333,29952,0
0.614,23697,0
0.7246666666666667,15561,0
0.5726666666666667,25135,0
0.702,38748,0
0.8306666666666667,16044,0
0.5293333333333333,25369,0
0.9533333333333334,9454,0
0.638,19201,0
0.8053333333333333,36432,0
0.702,16033,0
0.7566666666666667,36978,0
0.7093333333333334,36266,0
0.6913333333333334,21372,0
0.8913333333333333,23372,0
0.9493333333333334,27648,0
0.5253333333333333,0,0
0.8586666666666667,17518,0
0.962,21594,0
0.6446666666666667,40252,0
0.552,54112,0
0.63,22367,0
0.78,36204,0
0.896,27094,0
0.7273333333333334,38976,0
0.9586666666666667,27044,0
1.4553333333333334,-11463,0
0.424,29578,0
1.05,24074,0
0.7093333333333334,0,0
0.9513333333333334,23830,0
0.9166666666666666,43293,0
0.7873333333333333,18390,0
0.716,35466,0
0.9833333333333333,10883,0
0.5853333333333334,47240,0
0.6446666666666667,44284,0
0.9786666666666667,34140,0
0.6073333333333333,24097,0
0.23266666666666666,38081,0
0.7506666666666667,41840,0
0.9373333333333334,10318,0
0.6493333333333333,38456,0
0.6226666666666667,51008,0
0.986,32858,0
0.6606666666666666,40108,0
0.7346666666666667,46016,0
0.9713333333333334,16892,0
1.136,4182,0
0.7126666666666667,57873,0
0.882,13863,0
0.7493333333333333,54855,0
0.698,20972,0
0.8633333333333333,23808,0
0.9713333333333334,37863,0
0.8006666666666666,18171,0
1.196,-6099,0
0.44666666666666666,27551,0
0.986,25636,0
0.9266666666666666,28592,0
0.6713333333333333,22945,0
0.63,24383,0
0.38533333333333336,31777,0
0.5306666666666666,53288,0
1.328,1016,0
0.9673333333333334,26134,0
0.836,23552,0
0.5873333333333334,43422,0
0.9453333333333334,11491,0
1.0426666666666666,30684,0
0.7353333333333333,19777,0
0.44066666666666665,30521,0
0.7413333333333333,42128,0
0.9326666666666666,46749,0
0.906,32116,0
0.5266666666666666,24311,0
0.8806666666666667,31748,0
0.664,21244,0
0.9273333333333333,21504,0
0.9093333333333333,26656,0
0.6366666666666667,23983,0
0.6526666666666666,21895,0
0.6273333333333333,23005,0
1.0046666666666666,43576,0
0.8846666666666667,10761,0
1.1653333333333333,3076,0
0.504,26799,0
0.638,41052,0
0.9533333333333334,25590,0
1.0566666666666666,23274,0
0.958,23030,0
0.7573333333333333,41040,0
0.6266666666666667,40630,0
0.8266666666666667,25820,0
0.86,14677,0
0.5693333333333334,44936,0
0.686,16897,0
1.066,26378,0
0.7606666666666667,48174,0
0.7686666666666667,38406,0
1.12,15812,0
1.104,13508,0
0.198,37575,0
0.5213333333333333,49544,0
0.558,47532,0
0.9533333333333334,11470,0
